Cluster analysis                                                                                   $no$$yes$no$no$yes$yes$$yes$yes$yes$no$yes$$no$yes$no$$yes
Make a sudden, destructive unpredictable action; incorporate                                       $yes$$yes$no$yes$yes$yes$$no$yes$no$yes$no$$yes$no$no$$no
What wouldn't you do?                                                                              $yes$$no$no$yes$yes$no$$yes$no$no$no$yes$$no$no$yes$$no
Use ""unqualified"" people                                                                         $yes$$yes$no$yes$yes$no$$yes$no$no$no$yes$$yes$no$no$$yes
Twist the spine                                                                                    $yes$$yes$yes$yes$no$yes$$yes$no$yes$no$no$$yes$no$no$$no
Assemble some of the instruments in a group and treat the group                                    $no$$yes$yes$yes$no$yes$$yes$no$yes$no$yes$$yes$no$no$$yes
Don't be frightened of cliches                                                                     $yes$$no$no$yes$yes$no$$yes$yes$no$no$yes$$yes$yes$no$$yes
Change nothing and continue with immaculate consistency                                            $yes$$no$no$yes$no$no$$yes$no$no$no$yes$$no$yes$no$$yes
Left channel, right channel, centre channel                                                        $no$$no$no$no$no$yes$$yes$no$no$yes$no$$no$no$no$$no
Twist the spine                                                                                    $yes$$yes$yes$yes$no$yes$$yes$no$yes$no$no$$yes$no$no$$no
