Cluster analysis                                                                                   $yes$$yes$no$no$no$no$$yes$no$no$no$no$$no$yes$no$$no
Make a sudden, destructive unpredictable action; incorporate                                       $yes$$yes$no$no$no$no$$no$no$no$no$no$$yes$no$no$$no
What wouldn't you do?                                                                              $yes$$yes$no$yes$no$no$$yes$no$yes$no$no$$no$no$yes$$no
Use ""unqualified"" people                                                                         $yes$$yes$no$yes$no$no$$no$no$no$yes$no$$yes$no$no$$yes
Twist the spine                                                                                    $yes$$yes$no$no$no$no$$no$no$yes$no$no$$yes$no$no$$no
Assemble some of the instruments in a group and treat the group                                    $no$$yes$no$yes$yes$yes$$yes$yes$no$no$no$$yes$no$no$$yes
Don't be frightened of cliches                                                                     $yes$$yes$no$no$no$no$$yes$no$no$no$no$$yes$yes$no$$no
Change nothing and continue with immaculate consistency                                            $yes$$yes$no$no$no$no$$no$yes$no$no$no$$yes$yes$no$$no
Left channel, right channel, centre channel                                                        $yes$$yes$no$no$no$yes$$no$no$yes$yes$no$$no$yes$no$$no
Twist the spine                                                                                    $yes$$yes$no$no$no$no$$no$no$yes$no$no$$yes$no$no$$no
